titleId,production_companies_name
tt0014164,Tiffany Productions
tt0014168,SF Studios
tt0014171,Sascha-Film
tt0014174,SF Studios
tt0014174,Phoebus-Film
tt0014188,J. Parker Read Jr. Productions
tt0014189,Paramount
tt0014191,Sascha-Film
tt0014202,Warner Bros. Pictures
tt0014211,Metro Pictures Corporation
tt0014223,Welsh-Pearson
tt0014229,Warner Bros. Pictures
tt0014239,Warner Bros. Pictures
tt0014247,Vitagraph Company of America
tt0014258,Famous Players-Lasky Corporation
tt0014301,SF Studios
tt0014323,Suomi-Filmi
tt0014330,Vitagraph Company of America
tt0014341,Joseph M. Schenck Productions
tt0014358,Charles Chaplin Productions
tt0014368,B.P. Schulberg Productions
tt0014370,Goldwyn Pictures Corporation
tt0014397,Leonardo-Film
tt0014405,Goldwyn Pictures Corporation
tt0014416,Mary Pickford Company
tt0014417,Films Abel Gance
tt0014425,Paramount
tt0014429,Hal Roach Studios
tt0014440,Metro Pictures Corporation
tt0014446,Carl Froelich-Film GmbH
tt0014447,Stern Film
tt0014467,Mack Sennett Comedies
tt0014469,Fox Film Corporation
tt0014478,Goldwyn Pictures Corporation
tt0014496,Thomas H. Ince Corporation
tt0014497,Goldwyn Pictures Corporation
tt0014499,Paramount
tt0014515,Louis B. Mayer Productions
tt0014516,Stern-Film
tt0014524,Rex-Film GmbH
tt0014527,Victor Halperin Productions
tt0014532,Paramount
tt0014538,Buster Keaton Productions
tt0014543,Hoot Gibson Productions
tt0014545,Universal Pictures
tt0014547,Warner Bros. Pictures
tt0014586,Neptune-Film A.G.
tt0014602,Maurice Tourneur Productions
tt0014604,D.W. Griffith Productions
tt0014605,Inspiration Pictures
tt0014606,Universal Pictures
tt0014611,Hal Roach Studios
tt0014619,Joseph M. Schenck Productions
tt0014624,Charles Chaplin Productions
tt0014624,Regent
tt0014624,United Artists
tt0014625,Paramount
tt0014626,Famous Players-Lasky Corporation
tt0014636,Famous Players-Lasky Corporation
tt0014636,Paramount
tt0014646,Межрабпом-Русь
tt0014655,Famous Players-Lasky Corporation
tt0014672,D.W. Griffith Productions
tt0014679,Metro-Goldwyn Pictures Corporation
tt0014681,Paramount
tt0014720,Gotham Productions
tt0014733,Jackie Coogan Productions
tt0014760,Sol Lesser Productions
tt0014767,Paramount
tt0014774,Tiffany Productions
tt0014782,Paramount
tt0014831,Universum Film
tt0014831,Warner Bros. Pictures
tt0014852,Paramount
tt0014854,United Artists
tt0014854,Mary Pickford Company
tt0014871,Paramount
tt0014877,Universal Pictures
tt0014881,Famous Players-Lasky Corporation
tt0014892,Paramount
tt0014898,Les Films Jean Renoir
tt0014900,UFA
tt0014902,Hunt Stromberg Productions
tt0014931,Atlántida Films
tt0014931,Cinégraphic
tt0014945,The Harold Lloyd Corporation
tt0014953,B.F. Zeidman Productions Ltd.
tt0014968,Metro Pictures Corporation
tt0014972,Metro-Goldwyn-Mayer
tt0014982,Constance Talmadge Film Company
tt0014984,Paramount
tt0014991,Louis B. Mayer Productions
tt0014991,Metro-Goldwyn Pictures Corporation
tt0015002,The Harold Lloyd Corporation
tt0015004,Paramount
tt0015014,Cinégraphic
tt0015015,Malcolm Strauss Pictures
tt0015015,Pathé Exchange
tt0015016,Fox Film Corporation
tt0015022,Cosmopolitan Productions
tt0015022,Metro-Goldwyn Pictures Corporation
tt0015036,Albatros
tt0015038,Hal Roach Studios
tt0015039,Kultkino
tt0015051,Fox Film Corporation
tt0015053,Carlos Productions
tt0015053,Truart Film Co.
tt0015064,UFA
tt0015068,Warner Bros. Pictures
tt0015074,Jackie Coogan Productions
tt0015104,Tiffany Productions
tt0015116,Paramount
tt0015117,Famous Players-Lasky Corporation
tt0015119,Warner Bros. Pictures
tt0015120,Metro-Goldwyn-Mayer
tt0015130,Paramount
tt0015131,Famous Players-Lasky Corporation
tt0015131,Paramount
tt0015136,UFA
tt0015141,Société des Films Historiques
tt0015145,Paramount
tt0015152,Fennica-Filmi
tt0015163,Buster Keaton Productions
tt0015167,Goskino USSR
tt0015174,UFA
tt0015174,Decla-Bioscop
tt0015175,UFA
tt0015175,Decla-Bioscop
tt0015180,Paramount
tt0015202,Pan-Film KG Wien
tt0015213,Mezhrabpom-Rus
tt0015214,Films Diamant
tt0015217,Gainsborough Pictures
tt0015221,John McCormick Productions
tt0015224,Famous Players-Lasky Corporation
tt0015224,Paramount
tt0015254,Columbia Pictures
tt0015263,Universal Pictures
tt0015289,Inspiration Pictures
tt0015289,Metro-Goldwyn-Mayer
tt0015299,Famous Players-Lasky Corporation
tt0015310,Frank Lloyd Productions
tt0015310,First National Pictures
tt0015320,Paramount
tt0015324,Metro Pictures Corporation
tt0015331,Universal Pictures
tt0015337,Hunt Stromberg Productions
tt0015339,Sascha-Film
tt0015346,Metro-Goldwyn-Mayer
tt0015347,First National Pictures
tt0015349,Paramount
tt0015355,C.C. Burr Productions Inc.
tt0015361,Proletkult
tt0015361,Gosfilmfond Russia
tt0015371,Paramount
tt0015400,Douglas Fairbanks Pictures
tt0015408,Goldwyn Pictures Corporation
tt0015409,Warner Bros. Pictures
tt0015413,Louis B. Mayer Productions
tt0015420,Walls and Henson Films
tt0015437,Goldwyn Pictures Corporation
tt0015451,Napoleon Films
